make,model,fuel,gear,hp,year
Citroen,C4 Picasso,Gasoline,Automatic,131.0,2018
Audi,A4 allroad,Diesel,Automatic,163.0,2018
Maserati,Ghibli,Diesel,Automatic,275.0,2018
Audi,TTS,Gasoline,Automatic,310.0,2018
Kia,Sorento,Diesel,Automatic,170.0,2018
Hyundai,i40,Diesel,Manual,141.0,2018
Jaguar,XF,Diesel,Automatic,179.0,2018
BMW,550,Diesel,Automatic,400.0,2018
BMW,440,Gasoline,Automatic,326.0,2018
BMW,740,Diesel,Automatic,320.0,2018
Alfa,Romeo Quadrifoglio,Gasoline,Automatic,510.0,2018
Volkswagen,T6 Transporter,Diesel,Manual,102.0,2018
BMW,216,Diesel,Manual,116.0,2018
MINI,Cooper,Gasoline,Manual,136.0,2018
Opel,Ampera,Electric,Automatic,204.0,2018
Maserati,Levante,Gasoline,Automatic,430.0,2018
Jaguar,I-Pace,Electric,Automatic,400.0,2018
Suzuki,Celerio,Gasoline,Automatic,68.0,2018
Mercedes-Benz,CLS 450,Electric/Gasoline,Automatic,367.0,2019
Audi,SQ7,Diesel,Automatic,435.0,2019
Fiat,Qubo,Gasoline,Manual,77.0,2019
Citroen,Jumpy,Diesel,Manual,122.0,2019
Mercedes-Benz,SLC 180,Gasoline,Manual,156.0,2019
Ford,Flex,Gasoline,Automatic,314.0,2019
Mercedes-Benz,GLC 350,Diesel,Automatic,258.0,2019
Dodge,Charger,Gasoline,Automatic,309.0,2019
Mercedes-Benz,GLC 43 AMG,Gasoline,Automatic,367.0,2019
MINI,John Cooper Works Countryman,Gasoline,Automatic,306.0,2019
BMW,435,Diesel,Automatic,313.0,2019
BMW,640,Diesel,Automatic,320.0,2019
Chevrolet,Silverado,Gasoline,Automatic,355.0,2019
Audi,A8,Diesel,Automatic,286.0,2019
Cadillac,CTS,Gasoline,Automatic,649.0,2019
Mercedes-Benz,C 43 AMG,Gasoline,Automatic,390.0,2019
Mercedes-Benz,GLC 63 AMG,Gasoline,Automatic,476.0,2019
Mercedes-Benz,E 53 AMG,Gasoline,Automatic,435.0,2019
Mercedes-Benz,E 63 AMG,Gasoline,Automatic,571.0,2019
BMW,750,Diesel,Automatic,400.0,2019
BMW,M8,Gasoline,Automatic,625.0,2019
Mercedes-Benz,G 63 AMG,Gasoline,Automatic,850.0,2019
McLaren,600LT,Gasoline,Automatic,600.0,2019
McLaren,720S,Gasoline,Automatic,721.0,2019
Corvette,Z06,Gasoline,Automatic,767.0,2019
Toyota,Prius,Electric/Gasoline,Automatic,98.0,2019
Nissan,E-NV200,Electric,Automatic,109.0,2019
Alpina,XD3,Diesel,Automatic,387.0,2019
BMW,X5 M,Diesel,Automatic,400.0,2019
Mercedes-Benz,E 350,Diesel,Automatic,258.0,2019
BMW,X4,Diesel,Automatic,265.0,2019
Land,Rover Discovery,Diesel,Automatic,306.0,2019
Mercedes-Benz,G 400,Diesel,Automatic,330.0,2019
Skoda,Rapid/Spaceback,Gasoline,Manual,95.0,2019
Mercedes-Benz,G 500,Gasoline,Automatic,421.0,2019
Mercedes-Benz,S 63 AMG,Gasoline,Automatic,612.0,2019
Dacia,Logan,Gasoline,Manual,73.0,2019
Ford,Tourneo,Diesel,Automatic,120.0,2019
Estrima,Birò,Electric,Automatic,5.0,2019
Suzuki,Baleno,Gasoline,Manual,111.0,2019
Toyota,Auris,Electric/Gasoline,Automatic,136.0,2019
Renault,Kangoo Z.E.,Electric,Automatic,60.0,2019
Infiniti,Q30,Diesel,Manual,109.0,2019
RAM,1500,Gasoline,Automatic,401.0,2019
Opel,Adam,Gasoline,Manual,101.0,2019
Opel,Mokka X,Gasoline,Automatic,140.0,2019
Hyundai,iX20,Gasoline,Automatic,125.0,2019
