make_numerico,model,fuel,gear,hp,year
16,Cooper SD,Diesel,Automatic,190.0,2017
1,225,Electric/Gasoline,Automatic,224.0,2018
39,Forester,Gasoline,Automatic,150.0,2018
10,V 200,Diesel,Automatic,163.0,2018
33,RC 300h,Electric/Gasoline,Automatic,223.0,2018
10,A 45 AMG,Gasoline,Automatic,381.0,2018
10,GLE 500,Electric/Gasoline,Automatic,333.0,2018
10,CLA 45 AMG,Gasoline,Automatic,381.0,2018
1,M3,Gasoline,Automatic,431.0,2018
43,Senova X35,Gasoline,Manual,111.0,2018
14,Carens,Gasoline,Manual,135.0,2018
43,BJ20,Gasoline,Automatic,136.0,2018
45,Pacifica,LPG,Automatic,291.0,2018
40,Durango,Gasoline,Automatic,481.0,2018
12,TT RS,Gasoline,Automatic,400.0,2018
12,RS6,Gasoline,Automatic,605.0,2018
75,C7,Gasoline,Manual,635.0,2018
35,GranCabrio,Gasoline,Automatic,460.0,2018
15,Dokker,Gasoline,Manual,102.0,2018
13,Punto Evo,Gasoline,Manual,69.0,2018
16,Cooper D,Diesel,Manual,150.0,2018
6,Prius+,Electric/Gasoline,Automatic,136.0,2018
5,Boxer,Diesel,Manual,163.0,2018
16,One D,Diesel,Manual,95.0,2018
9,Ka/Ka+,Gasoline,Manual,86.0,2018
13,Punto,Gasoline,Manual,77.0,2018
13,Fiorino,Gasoline,Manual,77.0,2018
16,John Cooper Works,Gasoline,Automatic,231.0,2018
9,Grand C-Max,Diesel,Manual,150.0,2018
1,316,Diesel,Automatic,116.0,2018
1,M1,Gasoline,Automatic,340.0,2018
1,430,Gasoline,Manual,252.0,2018
3,Toledo,Gasoline,Manual,110.0,2018
3,Mii,Others,Manual,68.0,2018
1,X6,Diesel,Automatic,313.0,2018
16,One Clubman,Gasoline,Manual,102.0,2018
25,V40 Cross Country,Diesel,Manual,120.0,2018
2,Beetle,Gasoline,Manual,150.0,2018
16,Cooper S Countryman,Gasoline,Automatic,192.0,2018
14,Venga,Gasoline,Manual,125.0,2018
7,Zafira,Diesel,Automatic,131.0,2018
10,C 250,Diesel,Automatic,204.0,2018
19,C4 Picasso,Gasoline,Automatic,131.0,2018
12,A4 allroad,Diesel,Automatic,163.0,2018
35,Ghibli,Diesel,Automatic,275.0,2018
12,TTS,Gasoline,Automatic,310.0,2018
14,Sorento,Diesel,Automatic,170.0,2018
17,i40,Diesel,Manual,141.0,2018
26,XF,Diesel,Automatic,179.0,2018
1,550,Diesel,Automatic,400.0,2018
1,440,Gasoline,Automatic,326.0,2018
1,740,Diesel,Automatic,320.0,2018
38,Romeo Quadrifoglio,Gasoline,Automatic,510.0,2018
2,T6 Transporter,Diesel,Manual,102.0,2018
1,216,Diesel,Manual,116.0,2018
16,Cooper,Gasoline,Manual,136.0,2018
7,Ampera,Electric,Automatic,204.0,2018
35,Levante,Gasoline,Automatic,430.0,2018
26,I-Pace,Electric,Automatic,400.0,2018
21,Celerio,Gasoline,Automatic,68.0,2018
10,CLS 450,Electric/Gasoline,Automatic,367.0,2019
12,SQ7,Diesel,Automatic,435.0,2019
13,Qubo,Gasoline,Manual,77.0,2019
19,Jumpy,Diesel,Manual,122.0,2019
10,SLC 180,Gasoline,Manual,156.0,2019
9,Flex,Gasoline,Automatic,314.0,2019
10,GLC 350,Diesel,Automatic,258.0,2019
40,Charger,Gasoline,Automatic,309.0,2019
10,GLC 43 AMG,Gasoline,Automatic,367.0,2019
16,John Cooper Works Countryman,Gasoline,Automatic,306.0,2019
1,435,Diesel,Automatic,313.0,2019
1,640,Diesel,Automatic,320.0,2019
11,Silverado,Gasoline,Automatic,355.0,2019
12,A8,Diesel,Automatic,286.0,2019
72,CTS,Gasoline,Automatic,649.0,2019
10,C 43 AMG,Gasoline,Automatic,390.0,2019
10,GLC 63 AMG,Gasoline,Automatic,476.0,2019
10,E 53 AMG,Gasoline,Automatic,435.0,2019
10,E 63 AMG,Gasoline,Automatic,571.0,2019
1,750,Diesel,Automatic,400.0,2019
1,M8,Gasoline,Automatic,625.0,2019
10,G 63 AMG,Gasoline,Automatic,850.0,2019
47,600LT,Gasoline,Automatic,600.0,2019
47,720S,Gasoline,Automatic,721.0,2019
75,Z06,Gasoline,Automatic,767.0,2019
6,Prius,Electric/Gasoline,Automatic,98.0,2019
28,E-NV200,Electric,Automatic,109.0,2019
68,XD3,Diesel,Automatic,387.0,2019
1,X5 M,Diesel,Automatic,400.0,2019
10,E 350,Diesel,Automatic,258.0,2019
1,X4,Diesel,Automatic,265.0,2019
37,Rover Discovery,Diesel,Automatic,306.0,2019
10,G 400,Diesel,Automatic,330.0,2019
18,Rapid/Spaceback,Gasoline,Manual,95.0,2019
10,G 500,Gasoline,Automatic,421.0,2019
10,S 63 AMG,Gasoline,Automatic,612.0,2019
15,Logan,Gasoline,Manual,73.0,2019
9,Tourneo,Diesel,Automatic,120.0,2019
77,Birò,Electric,Automatic,5.0,2019
21,Baleno,Gasoline,Manual,111.0,2019
6,Auris,Electric/Gasoline,Automatic,136.0,2019
4,Kangoo Z.E.,Electric,Automatic,60.0,2019
20,Q30,Diesel,Manual,109.0,2019
65,1500,Gasoline,Automatic,401.0,2019
7,Adam,Gasoline,Manual,101.0,2019
7,Mokka X,Gasoline,Automatic,140.0,2019
17,iX20,Gasoline,Automatic,125.0,2019
19,C3 Aircross,Gasoline,Manual,110.0,2019
4,Master,Diesel,Manual,145.0,2019
33,CT 200h,Electric/Gasoline,Automatic,136.0,2019
1,230,Gasoline,Automatic,252.0,2019
14,Optima,Electric/Gasoline,Automatic,205.0,2019
1,525,Diesel,Automatic,231.0,2019
25,S60,Gasoline,Automatic,249.0,2019
39,Levorg,Gasoline,Automatic,170.0,2019
25,V40,Gasoline,Automatic,152.0,2019
27,991,Gasoline,Automatic,450.0,2019
14,Stonic,Gasoline,Automatic,120.0,2019
34,Cherokee,Diesel,Automatic,194.0,2019
37,Rover Discovery Sport,Gasoline,Automatic,241.0,2019
10,GLC 250,Gasoline,Automatic,211.0,2019
10,B 180,Diesel,Automatic,116.0,2019
6,Hilux,Diesel,Automatic,150.0,2019
12,Q7,Diesel,Automatic,286.0,2019
